config,seed,head_dims_json,eval_loss,local_loss,induction_loss,local_accuracy,induction_accuracy,local_top_layer,local_top_head,local_top_head_dim,local_top_role_score,local_top_specialization,local_random_same_layer_role_score_mean,local_top_accuracy_delta,induction_top_layer,induction_top_head,induction_top_head_dim,induction_top_role_score,induction_top_specialization,induction_random_same_layer_role_score_mean,induction_top_accuracy_delta,same_top_slot,same_top_head_dim,role_distribution_tv_distance,role_distribution_overlap
hetero4_64third,1,"[16, 32, 64, 16]",0.000284442267002305,0.00011206224007764831,0.0004568222902889829,1.0,1.0,1,2,64,0.06630011609377107,0.9564381853866426,0.0010972872405545786,-0.00146484375,0,3,16,2.2077494140721683,0.5512238429380948,0.4353980218184006,-0.2658853754401207,False,False,0.6132727931317048,0.3867272068682952
hetero4_64third,2,"[16, 32, 64, 16]",0.0002813364517351147,0.0001108534224840696,0.00045181948371464387,1.0,1.0,1,2,64,0.15920928869763884,0.9835476599924989,0.0009581834883647389,-0.02294921875,1,2,64,1.1049237982588238,0.9292684666487335,0.03243486904830206,-0.23515620082616806,True,True,0.37445744445887325,0.6255425555411267
hetero4_64third,3,"[16, 32, 64, 16]",0.0003091477628913708,0.0001306523809034843,0.00048764315579319373,1.0,1.0,1,2,64,0.16636427778212237,0.9734197198819796,0.0012873581713392923,-0.0135498046875,1,2,64,1.0235812339451513,0.8892342743604854,0.04550233127520187,-0.20950516313314438,True,True,0.22712769030619762,0.7728723096938024
hetero4_64third,4,"[16, 32, 64, 16]",0.0002739637820923235,0.00011001918846886838,0.00043790836934931576,1.0,1.0,1,2,64,0.22232375461226184,0.9778036418843579,0.0014437164909395506,-0.0362548828125,0,0,16,1.3969235936820041,0.49508277828713343,0.4228263880650047,-0.21588537096977234,False,False,0.3505691730743232,0.6494308269256768
hetero4_64third,5,"[16, 32, 64, 16]",0.00025429847664781846,7.345640460698633e-05,0.0004351405441411771,1.0,1.0,1,2,64,0.056813586769749236,0.8917836352266707,0.0018168619569678413,-0.00537109375,1,2,64,1.0439598591983668,0.78413966452625,0.0942452488161507,-0.2307291254401207,True,True,0.3404781438640561,0.6595218561359439
hetero4_64third,6,"[16, 32, 64, 16]",0.000292892538709566,0.0001060507074726047,0.0004797343608515803,1.0,1.0,1,2,64,0.2114360005780327,0.9867913951040995,0.0008518679869666812,-0.042236328125,0,2,64,1.972349980056606,0.8666241631513069,0.03659432036965882,-0.2558593302965164,False,True,0.5249992458556082,0.4750007541443918
hetero4_64third,7,"[16, 32, 64, 16]",0.00030248671100707725,0.00012654672536882572,0.00047842669300734997,1.0,1.0,1,2,64,0.20726012204613653,0.9777884916207015,0.0017411970220564399,-0.03564453125,0,2,64,2.843934764387086,0.40571167100366395,1.4142609334085137,-0.3440103754401207,False,True,0.7740523931230257,0.22594760687697435
hetero4_64third,8,"[16, 32, 64, 16]",0.0002771980107354466,0.00010479496268089861,0.0004496010624279734,1.0,1.0,1,2,64,0.2770318996772403,0.9149188081553532,0.012689951170614222,-0.0491943359375,0,0,16,1.546971258274425,0.8452441367970945,0.06336477015065611,-0.3029296472668648,False,False,0.36514682026590145,0.6348531797340986
hetero4_64third,9,"[16, 32, 64, 16]",0.00027700239661498927,9.73057167357183e-05,0.0004566990755847655,1.0,1.0,1,2,64,0.15021354405416787,0.9460066422197311,0.0031638825962545525,-0.0196533203125,1,2,64,1.3194743013955303,0.900070900483999,0.02604021247680066,-0.2832030802965164,True,True,0.09838702711736823,0.9016129728826319
hetero4_64third,10,"[16, 32, 64, 16]",0.00028492920318967663,0.00010809041759785032,0.0004617679769580718,1.0,1.0,1,2,64,0.14336969032683555,0.9577386705813427,0.0018155017123717698,-0.0185546875,0,0,16,6.546711493665498,0.9622185667124531,0.05745351081714034,-0.669726550579071,False,False,0.46856361213859615,0.5314363878614038
