config,seed,role_a,family_a,role_b,family_b,same_family,tv_distance,similarity
"16,112",1,kv_a,kv_lookup,induction_long,induction,False,0.11111112275465226,0.8888888772453477
"16,112",1,kv_b,kv_lookup,induction_short,induction,False,0.03202317595649862,0.9679768240435014
"16,112",1,kv_b,kv_lookup,induction_long,induction,False,0.18951909494979954,0.8104809050502004
"16,112",1,induction_short,induction,induction_long,induction,True,0.15752347463444938,0.8424765253655506
"16,112",2,local_a,local_copy,local_b,local_copy,True,0.0003248436320086598,0.9996751563679913
"16,112",2,local_a,local_copy,kv_a,kv_lookup,False,0.4707240997421597,0.5292759002578403
"16,112",2,local_a,local_copy,kv_b,kv_lookup,False,0.4149015295647849,0.5850984704352151
"16,112",2,local_a,local_copy,induction_short,induction,False,0.6330449982573652,0.36695500174263485
"16,112",2,local_a,local_copy,induction_long,induction,False,0.6160586314066048,0.3839413685933952
"16,112",2,local_b,local_copy,kv_a,kv_lookup,False,0.4707240997421597,0.5292759002578403
"16,112",2,local_b,local_copy,kv_b,kv_lookup,False,0.4149015295647849,0.5850984704352151
"16,112",2,local_b,local_copy,induction_short,induction,False,0.6330449982573652,0.36695500174263485
"16,112",2,local_b,local_copy,induction_long,induction,False,0.6160731108319681,0.38392688916803186
"16,112",2,kv_a,kv_lookup,kv_b,kv_lookup,True,0.055967806270850004,0.94403219372915
"16,112",2,kv_a,kv_lookup,induction_short,induction,False,0.16232089851520554,0.8376791014847944
"16,112",2,kv_a,kv_lookup,induction_long,induction,False,0.1458298691392102,0.8541701308607899
"16,112",2,kv_b,kv_lookup,induction_short,induction,False,0.21814346869258028,0.7818565313074197
"16,112",2,kv_b,kv_lookup,induction_long,induction,False,0.20166893922487697,0.7983310607751231
"16,112",2,induction_short,induction,induction_long,induction,True,0.05418082708047646,0.9458191729195236
"16,112",3,local_a,local_copy,local_b,local_copy,True,0.0004599348259141027,0.9995400651740859
"16,112",3,local_a,local_copy,kv_a,kv_lookup,False,0.48682254442267897,0.513177455577321
"16,112",3,local_a,local_copy,kv_b,kv_lookup,False,0.4106564740225679,0.5893435259774321
"16,112",3,local_a,local_copy,induction_short,induction,False,0.559394921935476,0.440605078064524
"16,112",3,local_a,local_copy,induction_long,induction,False,0.5797132086055442,0.4202867913944558
"16,112",3,local_b,local_copy,kv_a,kv_lookup,False,0.4868429573856121,0.5131570426143879
"16,112",3,local_b,local_copy,kv_b,kv_lookup,False,0.4106564740225679,0.5893435259774321
"16,112",3,local_b,local_copy,induction_short,induction,False,0.5596435042605847,0.44035649573941527
"16,112",3,local_b,local_copy,induction_long,induction,False,0.5799617909306529,0.4200382090693471
"16,112",3,kv_a,kv_lookup,kv_b,kv_lookup,True,0.07618648336304423,0.9238135166369558
"16,112",3,kv_a,kv_lookup,induction_short,induction,False,0.07283594216011838,0.9271640578398817
"16,112",3,kv_a,kv_lookup,induction_long,induction,False,0.09353489131154402,0.906465108688456
"16,112",3,kv_b,kv_lookup,induction_short,induction,False,0.14898703023801688,0.8510129697619832
"16,112",3,kv_b,kv_lookup,induction_long,induction,False,0.16942220880430045,0.8305777911956995
"16,112",3,induction_short,induction,induction_long,induction,True,0.024037690837316078,0.9759623091626839
"16,112",4,local_a,local_copy,local_b,local_copy,True,0.000204672177581922,0.9997953278224181
"16,112",4,local_a,local_copy,kv_a,kv_lookup,False,0.47305992847442085,0.5269400715255792
"16,112",4,local_a,local_copy,kv_b,kv_lookup,False,0.43773784487593903,0.562262155124061
"16,112",4,local_a,local_copy,induction_short,induction,False,0.31205115642806014,0.6879488435719399
"16,112",4,local_a,local_copy,induction_long,induction,False,0.5363223171213042,0.4636776828786958
"16,112",4,local_b,local_copy,kv_a,kv_lookup,False,0.4731387109362156,0.5268612890637844
"16,112",4,local_b,local_copy,kv_b,kv_lookup,False,0.43773784487593903,0.562262155124061
"16,112",4,local_b,local_copy,induction_short,induction,False,0.31213132788652437,0.6878686721134757
"16,112",4,local_b,local_copy,induction_long,induction,False,0.5364753329869261,0.46352466701307393
"16,112",4,kv_a,kv_lookup,kv_b,kv_lookup,True,0.03541987789690868,0.9645801221030913
"16,112",4,kv_a,kv_lookup,induction_short,induction,False,0.2440128815464817,0.7559871184535183
"16,112",4,kv_a,kv_lookup,induction_long,induction,False,0.3944202277543811,0.6055797722456189
"16,112",4,kv_b,kv_lookup,induction_short,induction,False,0.20881570074636607,0.791184299253634
"16,112",4,kv_b,kv_lookup,induction_long,induction,False,0.39436071886333535,0.6056392811366647
"16,112",4,induction_short,induction,induction_long,induction,True,0.3113823288664841,0.6886176711335159
"16,112",5,local_a,local_copy,local_b,local_copy,True,0.00016521273807485327,0.9998347872619251
"16,112",5,local_a,local_copy,kv_a,kv_lookup,False,0.4664919811125291,0.5335080188874709
"16,112",5,local_a,local_copy,kv_b,kv_lookup,False,0.45295324163600564,0.5470467583639944
"16,112",5,local_a,local_copy,induction_short,induction,False,0.5743852449475996,0.42561475505240043
"16,112",5,local_a,local_copy,induction_long,induction,False,0.6571542234820984,0.3428457765179016
"16,112",5,local_b,local_copy,kv_a,kv_lookup,False,0.46665719385060395,0.5333428061493961
"16,112",5,local_b,local_copy,kv_b,kv_lookup,False,0.4529902160065258,0.5470097839934742
"16,112",5,local_b,local_copy,induction_short,induction,False,0.5745504576856745,0.4254495423143255
"16,112",5,local_b,local_copy,induction_long,induction,False,0.6573194362201732,0.3426805637798268
"16,112",5,kv_a,kv_lookup,kv_b,kv_lookup,True,0.013794590259344729,0.9862054097406553
"16,112",5,kv_a,kv_lookup,induction_short,induction,False,0.1078932638350705,0.8921067361649295
"16,112",5,kv_a,kv_lookup,induction_long,induction,False,0.20476555805907526,0.7952344419409247
"16,112",5,kv_b,kv_lookup,induction_short,induction,False,0.12157590821393752,0.8784240917860625
"16,112",5,kv_b,kv_lookup,induction_long,induction,False,0.207407483213201,0.792592516786799
